title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
The Prophecy,8.0,16.0,10.187623,1995-09-01,,,
Reckless,0.0,0.0,0.119713,1995-11-17,,,
Safe,0.0,0.0,8.180047,1995-06-23,7.2,45.0,
The Scarlet Letter,50000000.0,10382407.0,6.752119,1995-10-13,,,
The Show,0.0,0.0,0.159596,1995-08-25,,,
Showgirls,45000000.0,20350754.0,17.502375,1995-09-22,,,
Smoke,7000000.0,8349430.0,5.552946,1995-06-09,,,
Something to Talk About,0.0,50892160.0,3.743212,1995-08-04,,,
Species,35000000.0,113374103.0,13.492845,1995-07-07,,,
The Stars Fell on Henrietta,0.0,0.0,0.913522,1995-09-15,,,
Strange Days,42000000.0,7959291.0,11.223055,1995-10-13,,,
The Umbrellas of Cherbourg,0.0,0.0,8.133881,1964-02-19,,,
The Tie That Binds,14000000.0,5780000.0,1.820419,1995-09-08,,,
Three Wishes,0.0,7025496.0,11.002046,1995-10-27,,,
Total Eclipse,0.0,339889.0,4.546552,1995-11-02,,,
"To Wong Foo, Thanks for Everything! Julie Newmar",0.0,47774193.0,7.653446,1995-09-07,,,
Under Siege 2: Dark Territory,60000000.0,104324083.0,7.490247,1995-07-13,,,
Unstrung Heroes,0.0,0.0,2.881689,1995-09-15,,,
Unzipped,0.0,0.0,0.786023,1995-08-11,,,
A Walk in the Clouds,20000000.0,50012507.0,9.715639,1995-08-11,,,
Waterworld,175000000.0,264218220.0,16.885184,1995-07-28,,,
White Man's Burden,8000000.0,0.0,1.834099,1995-12-01,,,
Wild Bill,30000000.0,0.0,8.922139,1995-12-01,,,
The Browning Version,0.0,0.0,3.727644,1994-10-12,,,
Bushwhacked,0.0,0.0,3.287036,1995-08-04,,,
Burnt by the Sun,2800000.0,2616503.0,2.486073,1994-05-01,,,
Before the Rain,0.0,763847.0,3.525649,1994-06-09,,,
Before Sunrise,2500000.0,5535405.0,11.304979,1995-01-27,,,
Billy Madison,10000000.0,26488734.0,6.638116,1995-02-10,,,
The Babysitter,0.0,0.0,2.761837,1995-10-17,6.4,85.0,
Boys on the Side,21000000.0,23450000.0,3.030309,1995-02-03,,,
The Cure,0.0,0.0,2.686342,1995-04-21,,,
Castle Freak,0.0,0.0,2.26977,1995-08-04,,,
Circle of Friends,0.0,0.0,2.605521,1995-03-16,,,
Clerks,27000.0,3151130.0,10.513367,1994-09-13,,,
Don Juan DeMarco,25000000.0,22200000.0,7.438934,1994-10-01,,,
Disclosure,55000000.0,214015089.0,11.812244,1994-12-09,8.2,107.0,
Dream Man,0.0,0.0,0.155859,1995-01-01,,,
Drop Zone,45000000.0,0.0,9.579155,1994-12-08,,,
Destiny Turns on the Radio,0.0,0.0,0.710671,1995-04-28,,,
Death and the Maiden,0.0,0.0,5.484156,1994-05-04,,,
Dolores Claiborne,0.0,0.0,5.8025,1995-03-24,,,
